kota_administrasi,kecamatan,kelurahan,lama_genangan,jumlah_tempat_pengungsian,jumlah_luka_ringan,jumlah_luka_berat,jumlah_meninggal,ketinggian_air_minimal,ketinggian_air_maksimal,avg_ketinggian_air,total_kejadian,total_rw,cluster
3.0,11.0,460.0,1.0,0.0,0.0,0.0,0.0,20.0,150.0,85.0,1.0,1.0,2.0
1.0,82.0,517.0,1.0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,2.0,0.0
1.0,82.0,328.0,4.0,0.0,0.0,0.0,0.0,20.0,60.0,40.0,4.0,1.0,3.0
4.0,26.0,305.0,6.0,0.0,0.0,0.0,0.0,30.0,180.0,105.0,6.0,8.0,3.0
4.0,88.0,57.0,3.0,0.0,0.0,0.0,0.0,10.0,80.0,45.0,3.0,7.0,1.0
4.0,88.0,70.0,3.0,0.0,0.0,0.0,0.0,10.0,40.0,25.0,3.0,3.0,4.0
4.0,95.0,366.0,1.0,0.0,0.0,0.0,0.0,50.0,60.0,55.0,1.0,2.0,0.0
3.0,96.0,18.0,2.0,8.0,0.0,0.0,0.0,100.0,160.0,130.0,2.0,3.0,1.0
3.0,96.0,442.0,2.0,7.0,0.0,0.0,0.0,50.0,80.0,65.0,2.0,7.0,2.0
3.0,96.0,368.0,2.0,5.0,0.0,0.0,0.0,50.0,50.0,50.0,2.0,3.0,0.0
3.0,96.0,547.0,2.0,9.0,0.0,0.0,0.0,50.0,50.0,50.0,2.0,6.0,2.0
3.0,96.0,344.0,2.0,10.0,0.0,0.0,0.0,40.0,80.0,60.0,2.0,3.0,3.0
3.0,80.0,451.0,2.0,2.0,0.0,0.0,0.0,20.0,80.0,50.0,2.0,3.0,2.0
3.0,137.0,24.0,3.0,0.0,0.0,0.0,0.0,20.0,120.0,70.0,3.0,3.0,1.0
3.0,113.0,443.0,3.0,0.0,0.0,0.0,0.0,5.0,20.0,12.5,3.0,1.0,0.0
3.0,119.0,557.0,2.0,1.0,0.0,0.0,0.0,0.0,100.0,50.0,2.0,3.0,2.0
1.0,86.0,374.0,1.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,1.0,1.0,0.0
1.0,20.0,565.0,1.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,1.0,1.0,2.0
3.0,113.0,478.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,75.0,1.0,3.0,2.0
6.0,109.0,423.0,7.0,0.0,0.0,0.0,0.0,30.0,60.0,45.0,6.0,12.0,0.0
6.0,109.0,424.0,3.0,0.0,0.0,0.0,0.0,5.0,40.0,22.5,3.0,2.0,0.0
4.0,26.0,305.0,4.0,3.0,0.0,0.0,0.0,30.0,180.0,105.0,4.0,8.0,3.0
3.0,119.0,557.0,4.0,5.0,0.0,0.0,0.0,20.0,100.0,60.0,4.0,3.0,2.0
3.0,137.0,318.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,2.0,1.0,3.0
3.0,137.0,24.0,2.0,0.0,0.0,0.0,0.0,10.0,40.0,25.0,2.0,1.0,4.0
1.0,86.0,336.0,1.0,0.0,0.0,0.0,0.0,30.0,40.0,35.0,1.0,1.0,3.0
6.0,110.0,423.0,2.0,0.0,0.0,0.0,0.0,10.0,50.0,30.0,2.0,1.0,0.0
6.0,111.0,424.0,2.0,0.0,0.0,0.0,0.0,10.0,50.0,30.0,2.0,1.0,0.0
6.0,136.0,522.0,1.0,0.0,0.0,0.0,0.0,20.0,50.0,35.0,1.0,1.0,0.0
6.0,136.0,309.0,1.0,0.0,0.0,0.0,0.0,15.0,60.0,37.5,1.0,3.0,3.0
4.0,26.0,305.0,3.0,2.0,0.0,0.0,0.0,30.0,300.0,165.0,3.0,8.0,2.0
4.0,88.0,57.0,1.0,0.0,0.0,0.0,0.0,30.0,100.0,65.0,1.0,2.0,1.0
4.0,88.0,70.0,1.0,0.0,0.0,0.0,0.0,50.0,250.0,150.0,1.0,6.0,1.0
3.0,137.0,24.0,1.0,0.0,0.0,0.0,0.0,20.0,70.0,45.0,1.0,1.0,1.0
3.0,81.0,461.0,2.0,6.0,0.0,0.0,0.0,20.0,250.0,135.0,2.0,3.0,2.0
3.0,11.0,460.0,2.0,0.0,0.0,0.0,0.0,30.0,100.0,65.0,2.0,1.0,2.0
3.0,11.0,349.0,2.0,0.0,0.0,0.0,0.0,30.0,100.0,65.0,2.0,1.0,3.0
3.0,119.0,557.0,2.0,2.0,0.0,0.0,0.0,50.0,100.0,75.0,2.0,2.0,2.0
3.0,119.0,23.0,2.0,2.0,0.0,0.0,0.0,50.0,100.0,75.0,2.0,7.0,1.0
1.0,82.0,320.0,2.0,0.0,0.0,0.0,0.0,30.0,50.0,40.0,2.0,1.0,3.0
1.0,82.0,328.0,1.0,0.0,0.0,0.0,0.0,30.0,40.0,35.0,1.0,1.0,3.0
4.0,88.0,341.0,1.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,1.0,1.0,3.0
3.0,11.0,460.0,1.0,0.0,0.0,0.0,0.0,25.0,30.0,27.5,1.0,1.0,0.0
3.0,117.0,557.0,1.0,0.0,0.0,0.0,0.0,20.0,40.0,30.0,1.0,1.0,0.0
6.0,116.0,448.0,1.0,0.0,0.0,0.0,0.0,20.0,50.0,35.0,1.0,2.0,0.0
4.0,26.0,22.0,4.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,4.0,5.0,4.0
4.0,95.0,79.0,1.0,0.0,0.0,0.0,0.0,50.0,70.0,60.0,1.0,2.0,1.0
4.0,88.0,20.0,1.0,0.0,0.0,0.0,0.0,50.0,70.0,60.0,1.0,1.0,1.0
4.0,88.0,341.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,1.0,1.0,3.0
4.0,88.0,70.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,1.0,1.0,4.0
3.0,96.0,368.0,1.0,0.0,0.0,0.0,0.0,50.0,70.0,60.0,1.0,1.0,0.0
3.0,96.0,18.0,1.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,1.0,1.0,4.0
3.0,117.0,557.0,5.0,6.0,0.0,0.0,0.0,10.0,100.0,55.0,5.0,2.0,2.0
3.0,80.0,451.0,1.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,1.0,3.0,0.0
3.0,81.0,461.0,3.0,0.0,0.0,0.0,0.0,10.0,120.0,65.0,3.0,3.0,2.0
3.0,81.0,81.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,1.0,4.0
1.0,10.0,92.0,1.0,0.0,0.0,0.0,0.0,60.0,80.0,70.0,1.0,1.0,1.0
1.0,10.0,484.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,3.0,0.0
1.0,86.0,336.0,2.0,2.0,0.0,0.0,2.0,30.0,80.0,55.0,2.0,2.0,3.0
4.0,26.0,305.0,20.0,18.0,0.0,0.0,0.0,30.0,350.0,190.0,20.0,1.0,2.0
4.0,26.0,80.0,13.0,1.0,0.0,0.0,0.0,100.0,150.0,125.0,13.0,1.0,1.0
4.0,26.0,76.0,9.0,1.0,0.0,0.0,0.0,50.0,150.0,100.0,9.0,1.0,1.0
4.0,88.0,57.0,17.0,9.0,0.0,0.0,0.0,50.0,400.0,225.0,17.0,1.0,1.0
4.0,88.0,341.0,7.0,6.0,0.0,0.0,0.0,50.0,150.0,100.0,7.0,1.0,2.0
4.0,88.0,70.0,19.0,13.0,0.0,0.0,0.0,40.0,250.0,145.0,19.0,1.0,1.0
4.0,88.0,88.0,6.0,0.0,0.0,0.0,0.0,50.0,12.0,31.0,6.0,1.0,4.0
4.0,88.0,14.0,10.0,13.0,0.0,0.0,0.0,100.0,100.0,100.0,10.0,1.0,1.0
4.0,13.0,351.0,6.0,3.0,0.0,0.0,0.0,50.0,100.0,75.0,6.0,1.0,3.0
